epsilon_a sigma_a sigma_r epsilon_r epsilon_s p q x x x
-0 100 100 -0 -0 100 -0 2.1513 1.9999 1.14998 
0.001 104.585 100 0.000708192 0.000763936 101.528 4.58546 2.16552 2.00164 1.14846 
0.002 109.181 100 0.00141317 0.00152894 103.06 9.18074 2.18028 2.00282 1.14695 
0.003 113.785 100 0.00211465 0.00229512 104.595 13.7849 2.19564 2.00318 1.14544 
0.004 118.396 100 0.00281225 0.00306258 106.132 18.3964 2.21172 2.00248 1.14395 
0.005 123.014 100 0.00350551 0.0038315 107.671 23.0136 2.2287 2.00046 1.14246 
0.006 127.634 100 0.00419386 0.00460205 109.211 27.6342 2.24679 1.99693 1.14099 
0.007 132.256 100 0.00487664 0.00537445 110.752 32.2559 2.26629 1.99172 1.13953 
0.008 136.876 100 0.0055531 0.00614897 112.292 36.876 2.28749 1.98469 1.13808 
0.009 141.492 100 0.00622241 0.00692586 113.831 41.4918 2.31075 1.97577 1.13665 
0.01 146.1 100 0.00688366 0.00770545 115.367 46.1005 2.33642 1.96492 1.13524 
0.011 150.699 100 0.00753589 0.00848804 116.9 50.6991 2.36487 1.95214 1.13384 
0.012 155.285 100 0.00817812 0.00927396 118.428 55.285 2.39648 1.93745 1.13248 
0.013 159.855 100 0.00880933 0.0100636 119.952 59.8554 2.43165 1.92092 1.13113 
0.014 164.408 100 0.00942852 0.0108572 121.469 64.4075 2.47075 1.90263 1.12981 
0.015 168.939 100 0.0100347 0.0116551 122.98 68.9388 2.51419 1.88268 1.12852 
0.016 173.447 100 0.0106268 0.0124577 124.482 73.4466 2.56239 1.86116 1.12726 
0.017 177.929 100 0.011204 0.0132653 125.976 77.9285 2.6158 1.83818 1.12603 
0.018 182.382 100 0.0117654 0.0140782 127.461 82.382 2.67489 1.81384 1.12484 
0.019 186.805 100 0.0123101 0.0148966 128.935 86.8046 2.74021 1.78822 1.12368 
0.02 191.194 100 0.0128373 0.0157209 130.398 91.1939 2.81238 1.76141 1.12257 
0.021 195.547 100 0.0133463 0.0165512 131.849 95.5473 2.8921 1.73347 1.12149 
0.022 199.862 100 0.0138364 0.0173879 133.287 99.8623 2.98021 1.70447 1.12045 
0.023 204.136 100 0.014307 0.018231 134.712 104.136 3.07775 1.67445 1.11945 
0.024 208.366 100 0.0147575 0.0190808 136.122 108.366 3.18595 1.64346 1.11849 
0.025 212.55 100 0.0151874 0.0199375 137.517 112.55 3.30633 1.61152 1.11758 
0.026 216.683 100 0.0155961 0.0208013 138.894 116.683 3.4408 1.57866 1.11672 
0.027 220.765 100 0.0159833 0.0216722 140.255 120.765 3.59179 1.5449 1.1159 
0.028 224.79 100 0.0163486 0.0225505 141.597 124.79 3.76236 1.51026 1.11513 
0.029 228.756 100 0.0166915 0.0234362 142.919 128.756 3.95654 1.47475 1.1144 
0.03 232.66 100 0.0170118 0.0243294 144.22 132.66 4.17959 1.43839 1.11373 
0.031 236.498 100 0.0173091 0.0252303 145.499 136.498 4.43861 1.4012 1.1131 
0.032 240.266 100 0.0175832 0.0261389 146.755 140.266 4.74334 1.36321 1.11252 
0.033 243.962 100 0.0178338 0.0270554 147.987 143.962 5.10752 1.32444 1.11199 
0.034 247.58 100 0.0180607 0.0279798 149.193 147.58 5.5511 1.28492 1.11151 
0.035 251.119 100 0.0182638 0.0289121 150.373 151.119 6.10424 1.2447 1.11109 
0.036 254.573 100 0.0184428 0.0298524 151.524 154.573 6.81471 1.20381 1.11071 
0.037 257.939 100 0.0185976 0.0308008 152.646 157.939 7.76288 1.16231 1.11038 
0.038 261.215 100 0.0187282 0.0317573 153.738 161.215 9.09519 1.12025 1.11011 
0.039 264.396 100 0.0188345 0.0327218 154.799 164.396 11.1095 1.07771 1.10988 
0.04 267.479 100 0.0189164 0.0336945 155.826 167.479 14.519 1.03476 1.10971 
0.041 270.46 100 0.018974 0.0346753 156.82 170.46 21.5619 0.991467 1.10959 
0.042 273.338 100 0.0190073 0.0356642 157.779 173.338 44.7635 0.947928 1.10952 
0.043 276.108 100 0.0190163 0.0366612 158.703 176.108 -289.785 0.904231 1.1095 
0.044 278.769 100 0.0190013 0.0376662 159.59 178.769 -32.0128 0.860475 1.10953 
0.045 281.318 100 0.0189624 0.0386792 160.439 181.318 -16.3118 0.81676 1.10962 
0.046 283.753 100 0.0188998 0.0397001 161.251 183.753 -10.6398 0.773191 1.10975 
0.047 286.073 100 0.0188138 0.0407287 162.024 186.073 -7.71165 0.729877 1.10993 
0.048 288.276 100 0.0187047 0.0417651 162.759 188.276 -5.9231 0.686926 1.11016 
0.049 290.361 100 0.0185728 0.0428091 163.454 190.361 -4.71679 0.644447 1.11044 
0.05 292.328 100 0.0184187 0.0438604 164.109 192.328 -3.84806 0.602548 1.11077 
0.051 294.177 100 0.0182428 0.0449191 164.726 194.177 -3.19264 0.561336 1.11114 
0.052 295.907 100 0.0180456 0.0459848 165.302 195.907 -2.68072 0.520914 1.11155 
0.053 297.52 100 0.0178277 0.0470574 165.84 197.52 -2.27003 0.481377 1.11201 
0.054 299.017 100 0.0175896 0.0481368 166.339 199.017 -1.93351 0.44282 1.11252 
0.055 300.398 100 0.0173322 0.0492226 166.799 200.398 -1.65301 0.405326 1.11306 
0.056 301.667 100 0.017056 0.0503147 167.222 201.667 -1.41591 0.368972 1.11365 
0.057 302.825 100 0.0167619 0.0514127 167.608 202.825 -1.21315 0.333828 1.11427 
0.058 303.874 100 0.0164505 0.0525165 167.958 203.874 -1.03806 0.299952 1.11493 
0.059 304.818 100 0.0161228 0.0536257 168.273 204.818 -0.885609 0.267394 1.11562 
0.06 305.66 100 0.0157795 0.0547402 168.553 205.66 -0.751946 0.236194 1.11635 
0.061 306.403 100 0.0154215 0.0558595 168.801 206.403 -0.634053 0.206382 1.11711 
0.062 307.051 100 0.0150497 0.0569834 169.017 207.051 -0.529534 0.177976 1.11789 
0.063 307.608 100 0.014665 0.0581117 169.203 207.608 -0.436464 0.150987 1.11871 
0.064 308.078 100 0.0142681 0.059244 169.359 208.078 -0.353273 0.125416 1.11955 
0.065 308.464 100 0.01386 0.06038 169.488 208.464 -0.278667 0.101256 1.12042 
0.066 308.771 100 0.0134416 0.0615195 169.59 208.771 -0.211569 0.0784894 1.1213 
0.067 309.003 100 0.0130137 0.0626621 169.668 209.003 -0.151072 0.0570942 1.12221 
0.068 309.165 100 0.0125772 0.0638076 169.722 209.165 -0.09641 0.0370405 1.12314 
0.069 309.26 100 0.0121328 0.0649557 169.753 209.26 -0.0469265 0.0182932 1.12408 
0.07 309.293 100 0.0116814 0.0661062 169.764 209.293 -0.00205727 0.000812296 1.12504 
0.071 309.268 100 0.0112238 0.0672587 169.756 209.268 0.0386866 -0.0154463 1.12601 
0.072 309.188 100 0.0107606 0.0684131 169.729 209.188 0.0757309 -0.0305296 1.127 
0.073 309.058 100 0.0102926 0.0695691 169.686 209.058 0.109449 -0.0444873 1.12799 
0.074 308.881 100 0.00982052 0.0707265 169.627 208.881 0.140168 -0.0573705 1.129 
0.075 308.661 100 0.00934494 0.071885 169.554 208.661 0.16818 -0.0692315 1.13001 
0.076 308.401 100 0.0088665 0.0730445 169.467 208.401 0.19374 -0.0801229 1.13103 
0.077 308.105 100 0.00838578 0.0742047 169.368 208.105 0.217079 -0.0900973 1.13206 
0.078 307.775 100 0.00790333 0.0753656 169.258 207.775 0.238402 -0.0992069 1.13308 
0.079 307.415 100 0.00741966 0.0765268 169.138 207.415 0.257892 -0.107503 1.13412 
0.08 307.027 100 0.00693525 0.0776883 169.009 207.027 0.275713 -0.115035 1.13515 
0.081 306.614 100 0.00645055 0.0788498 168.871 206.614 0.292014 -0.121852 1.13619 
0.082 306.179 100 0.00596598 0.0800113 168.726 206.179 0.306928 -0.128 1.13722 
0.083 305.723 100 0.00548193 0.0811727 168.574 205.723 0.320578 -0.133525 1.13826 
0.084 305.25 100 0.00499876 0.0823337 168.417 205.25 0.333071 -0.138468 1.13929 
0.085 304.76 100 0.00451681 0.0834944 168.253 204.76 0.344507 -0.142872 1.14032 
0.086 304.256 100 0.00403637 0.0846545 168.085 204.256 0.354977 -0.146775 1.14135 
0.087 303.739 100 0.00355772 0.0858141 167.913 203.739 0.364561 -0.150213 1.14237 
0.088 303.211 100 0.00308114 0.086973 167.737 203.211 0.373334 -0.153222 1.1434 
0.089 302.674 100 0.00260686 0.088131 167.558 202.674 0.381365 -0.155833 1.14441 
0.09 302.129 100 0.00213508 0.0892883 167.376 202.129 0.388714 -0.158078 1.14542 
0.091 301.578 100 0.00166601 0.0904447 167.193 201.578 0.395438 -0.159985 1.14643 
0.092 301.02 100 0.00119982 0.0916001 167.007 201.02 0.401589 -0.16158 1.14743 
0.093 300.458 100 0.000736683 0.0927544 166.819 200.458 0.407213 -0.16289 1.14843 
0.094 299.893 100 0.000276732 0.0939078 166.631 199.893 0.412354 -0.163936 1.14941 
0.095 299.325 100 -0.000179899 0.09506 166.442 199.325 0.41705 -0.164741 1.1504 
0.096 298.755 100 -0.000633093 0.096211 166.252 198.755 0.421338 -0.165325 1.15137 
0.097 298.184 100 -0.00108275 0.0973609 166.061 198.184 0.425251 -0.165706 1.15234 
0.098 297.613 100 -0.00152877 0.0985096 165.871 197.613 0.428818 -0.165902 1.1533 
0.099 297.041 100 -0.00197108 0.099657 165.68 197.041 0.432068 -0.165928 1.15425 
0.1 296.471 100 -0.0024096 0.100803 165.49 196.471 0.435026 -0.1658 1.1552 
0.101 295.902 100 -0.00284428 0.101948 165.301 195.902 0.437715 -0.165532 1.15613 
0.102 295.335 100 -0.00327507 0.103092 165.112 195.335 0.440157 -0.165135 1.15706 
0.103 294.77 100 -0.0037019 0.104234 164.923 194.77 0.442371 -0.164621 1.15798 
0.104 294.207 100 -0.00412476 0.105375 164.736 194.207 0.444375 -0.164002 1.1589 
0.105 293.648 100 -0.0045436 0.106515 164.549 193.648 0.446186 -0.163287 1.1598 
0.106 293.091 100 -0.00495841 0.107653 164.364 193.091 0.44782 -0.162486 1.1607 
0.107 292.539 100 -0.00536916 0.10879 164.18 192.539 0.449289 -0.161606 1.16158 
0.108 291.99 100 -0.00577583 0.109925 163.997 191.99 0.450608 -0.160656 1.16246 
0.109 291.445 100 -0.00617843 0.111059 163.815 191.445 0.451788 -0.159642 1.16333 
0.11 290.904 100 -0.00657694 0.112192 163.635 190.904 0.45284 -0.158571 1.1642 
0.111 290.368 100 -0.00697136 0.113324 163.456 190.368 0.453774 -0.15745 1.16505 
0.112 289.836 100 -0.0073617 0.114454 163.279 189.836 0.454599 -0.156283 1.16589 
0.113 289.309 100 -0.00774796 0.115583 163.103 189.309 0.455324 -0.155076 1.16673 
0.114 288.786 100 -0.00813014 0.11671 162.929 188.786 0.455958 -0.153833 1.16756 
0.115 288.269 100 -0.00850827 0.117836 162.756 188.269 0.456506 -0.152559 1.16838 
0.116 287.756 100 -0.00888236 0.118961 162.585 187.756 0.456977 -0.151258 1.16919 
0.117 287.248 100 -0.00925241 0.120084 162.416 187.248 0.457375 -0.149933 1.16999 
0.118 286.746 100 -0.00961846 0.121206 162.249 186.746 0.457708 -0.148588 1.17079 
0.119 286.249 100 -0.00998051 0.122327 162.083 186.249 0.45798 -0.147225 1.17157 
0.12 285.757 100 -0.0103386 0.123446 161.919 185.757 0.458196 -0.145847 1.17235 
0.121 285.27 100 -0.0106927 0.124564 161.757 185.27 0.45836 -0.144457 1.17312 
0.122 284.788 100 -0.011043 0.125681 161.596 184.788 0.458477 -0.143057 1.17388 
0.123 284.312 100 -0.0113893 0.126796 161.437 184.312 0.458551 -0.14165 1.17463 
0.124 283.841 100 -0.0117317 0.127911 161.28 183.841 0.458585 -0.140237 1.17538 
