epsilon_a sigma_a sigma_r epsilon_r epsilon_s p q x x
-0 100 100 -0 -0 100 -0 3.312490617 1.789762038
2e-05 100.090997 100 9.156952381e-06 1.694768254e-05 100.0303323 0.09099695652 3.312490617 1.789762038 
4e-05 100.1819939 100 1.831390476e-05 3.389536508e-05 100.0606646 0.181993913 3.312490617 1.789762038 
6e-05 100.2729909 100 2.747085714e-05 5.084304762e-05 100.090997 0.2729908696 3.312490617 1.789762038 
8e-05 100.3639878 100 3.662780952e-05 6.779073016e-05 100.1213293 0.3639878261 3.312490617 1.789762038 
0.0001 100.4549848 100 4.57847619e-05 8.47384127e-05 100.1516616 0.4549847826 3.312490617 1.789762038 
0.00012 100.5459817 100 5.494171429e-05 0.0001016860952 100.1819939 0.5459817391 3.312490617 1.789762038 
0.00014 100.6369787 100 6.409866667e-05 0.0001186337778 100.2123262 0.6369786957 3.312490617 1.789762038 
0.00016 100.7279757 100 7.325561905e-05 0.0001355814603 100.2426586 0.7279756522 3.312490617 1.789762038 
0.00018 100.8189726 100 8.241257143e-05 0.0001525291429 100.2729909 0.8189726087 3.312490617 1.789762038 
0.0002 100.9099696 100 9.156952381e-05 0.0001694768254 100.3033232 0.9099695652 3.312490617 1.789762038 
0.00022 101.0009665 100 0.0001007264762 0.0001864245079 100.3336555 1.000966522 3.312490617 1.789762038 
0.00024 101.0919635 100 0.0001098834286 0.0002033721905 100.3639878 1.091963478 3.312490617 1.789762038 
0.00026 101.1829604 100 0.000119040381 0.000220319873 100.3943201 1.182960435 3.312490617 1.789762038 
0.00028 101.2739574 100 0.0001281973333 0.0002372675556 100.4246525 1.273957391 3.312490617 1.789762038 
0.0003 101.3649543 100 0.0001373542857 0.0002542152381 100.4549848 1.364954348 3.312490617 1.789762038 
0.00032 101.4559513 100 0.0001465112381 0.0002711629206 100.4853171 1.455951304 3.312490617 1.789762038 
0.00034 101.5469483 100 0.0001556681905 0.0002881106032 100.5156494 1.546948261 3.312490617 1.789762038 
0.00036 101.6379452 100 0.0001648251429 0.0003050582857 100.5459817 1.637945217 3.312490617 1.789762038 
0.00038 101.7289422 100 0.0001739820952 0.0003220059683 100.5763141 1.728942174 3.312490617 1.789762038 
0.0004 101.8199391 100 0.0001831390476 0.0003389536508 100.6066464 1.81993913 3.312490617 1.789762038 
0.00042 101.9109361 100 0.000192296 0.0003559013333 100.6369787 1.910936087 3.312490617 1.789762038 
0.00044 102.001933 100 0.0002014529524 0.0003728490159 100.667311 2.001933043 3.312490617 1.789762038 
0.00046 102.09293 100 0.0002106099048 0.0003897966984 100.6976433 2.09293 3.312490617 1.789762038 
